ticker,company_name,sector,year,about_url,snapshot_timestamp,snapshot_url,target_timestamp,status,missing_reason,statuscode,page_text_clean,text_length,text_extraction_status
MSFT,Microsoft,Technology,2016,https://www.microsoft.com/en-us/about,20160702232755.0,http://web.archive.org/web/20160702232755/http://www.microsoft.com:80/en-us/about,20160701,found,,200.0,"About Microsoft Store Store home Devices Microsoft Surface PCs & tablets Xbox Virtual reality Accessories Windows phone Microsoft Band Software Office Windows Additional software Apps All apps Windows apps Windows phone apps Games Xbox One games Xbox 360 games PC games Windows games Windows phone games Entertainment All Entertainment Movies & TV Music Business & Education Business Store Education Store Developer Sale Sale Find a store Gift cards Products Software & services Windows Office Free downloads & security Internet Explorer Microsoft Edge Skype OneNote OneDrive Microsoft Health MSN Bing Microsoft Groove Microsoft Movies & TV Devices & Xbox All Microsoft devices Microsoft Surface All Windows PCs & tablets PC accessories Xbox & games Microsoft Band Microsoft Lumia All Windows phones Microsoft HoloLens For business Cloud Platform Microsoft Azure Microsoft Dynamics Windows for business Office for business Skype for business Surface for business Enterprise solutions Small business solutions Find a solutions provider Volume Licensing For developers & IT pros Develop Windows apps Microsoft Azure MSDN TechNet Visual Studio For students & educators Office for students OneNote in classroom Shop PCs & tablets perfect for students Microsoft in Education Support Sign in Cart Cart About About Company Facts News Worldwide sales offices Procurement Legal Contact Us People Board of directors Senior Leadership Stories Alumni Network Values Innovation Diversity & Inclusion Corporate social responsibility Philanthropies Environment Trustworthy Computing Careers Investor Relations Company Facts News Worldwide sales offices Procurement Legal Contact Us People Board of directors Senior Leadership Stories Alumni Network Values Innovation Diversity & Inclusion Corporate social responsibility Philanthropies Environment Trustworthy Computing Careers Investor Relations We believe in what people make possible Our mission is to empower every person and every organization on the planet to achieve more. Our company Find out all about Microsoftâcompany facts, news, how to contact us, and more. Who we are Get to know some of our people, places, and ideas. And meet the leaders who shape our vision. What we value See how we give our technology and resources to make a lasting positive impact. Contact us Get in touch. Weâre here to help. Innovating from the ocean floor to Mars More than 1,000 researchers at our labs around the world are achieving scientific breakthroughs. Research Caring for our communities Weâre dedicated to creating opportunities for everyone and making a difference in our communities around the world. Philanthropies Sharing our stories At Microsoft, weâre moved and inspired by many things. Take a look inside at what weâre up to today. Stories Building a sustainable future Our goals are to minimize the impact of our operations and products, and to foster responsible environmental leadership. Environment Follow Microsoft Share this page Learn Windows Office Skype Outlook OneDrive MSN Devices Microsoft Surface Xbox PC and laptops Microsoft Lumia Microsoft Band Microsoft HoloLens Microsoft Store View account Order tracking Retail store locations Returns Sales & support Downloads Download Center Windows downloads Windows 10 Apps Office Apps Microsoft Lumia Apps Internet Explorer Values Diversity and inclusion Accessibility Environment Microsoft Philanthropies Corporate Social Responsibility Privacy at Microsoft Company Careers About Microsoft Company news Investors Research Site map English (United States)â Contact us Privacy and cookies Terms of use Trademarks About our ads Â© 2016 Microsoft",3656,success
MSFT,Microsoft,Technology,2017,https://www.microsoft.com/en-us/about,,,20170701,missing,No closest snapshot found from Wayback Availability API,,,0,missing_snapshot
MSFT,Microsoft,Technology,2018,https://www.microsoft.com/en-us/about,,,20180701,missing,No closest snapshot found from Wayback Availability API,,,0,missing_snapshot
MSFT,Microsoft,Technology,2019,https://www.microsoft.com/en-us/about,20190702051350.0,http://web.archive.org/web/20190702051350/https://www.microsoft.com/en-us/about,20190701,found,,200.0,"About Microsoft | Mission and Vision | Microsoft Empowering others Our mission is to empower every person and organization on the planet to achieve more. Our company Stay informed about Microsoft – from company facts and news to our worldwide locations and more. Explore the world of Microsoft Who we are Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision. Meet the people of Microsoft What we value See how we utilize technology to build platforms and resources to help make a lasting positive impact. Learn about our values Contact us Get in touch. We’re here to help. Get the support you need Featured programs and projects Microsoft By the Numbers Adding up the stories that make Microsoft, By the Numbers is an interactive look at what drives us, from quantum computing to environmental sustainability. Explore By the Numbers Microsoft Philanthropies We believe technology is a powerful tool for social and economic inclusion, and we’re working to ensure that everyone has access to the opportunities it creates. Explore Microsoft Philanthropies Story Labs At Microsoft, we’re moved and inspired by many things. Microsoft Story Labs features in-depth interviews, features, and stories with those that are on the forefront of innovation. Check out Story Labs Microsoft AI When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you or your organization achieve more. Explore Microsoft AI Follow Microsoft",1539,success
MSFT,Microsoft,Technology,2020,https://www.microsoft.com/en-us/about,20200701214157.0,http://web.archive.org/web/20200701214157/https://www.microsoft.com/en-us/about,20200701,found,,200.0,"About Microsoft | Mission and Vision | Microsoft Empowering others Our mission is to empower every person and every organization on the planet to achieve more. Our company Stay informed about Microsoft – from company facts and news to our worldwide locations and more. Explore the world of Microsoft Who we are Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision. Meet the people of Microsoft What we value See how we utilize technology to build platforms and resources to help make a lasting positive impact. Learn about our values Contact us Get in touch. We’re here to help. Get the support you need Featured programs and projects Microsoft By the Numbers Adding up the stories that make Microsoft, By the Numbers is an interactive look at what drives us, from quantum computing to environmental sustainability. Explore By the Numbers Corporate Social Responsibility We believe technology is a powerful force for good and are working to foster a sustainable future where everyone has access to the benefits and opportunities created by technology. Learn about our approach Story Labs At Microsoft, we’re moved and inspired by many things. Microsoft Story Labs features in-depth interviews, features, and stories with those that are on the forefront of innovation. Check out Story Labs Microsoft AI When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you or your organization achieve more. Explore Microsoft AI Follow Microsoft",1563,success
MSFT,Microsoft,Technology,2021,https://www.microsoft.com/en-us/about,20210702005452.0,http://web.archive.org/web/20210702005452/https://www.microsoft.com/en-us/about,20210701,found,,200.0,"About Microsoft | Mission and Vision | Microsoft Empowering others Our mission is to empower every person and every organization on the planet to achieve more. Our company Stay informed about Microsoft – from company facts and news to our worldwide locations and more. Explore the world of Microsoft Who we are Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision. Meet the people of Microsoft What we value See how we utilize technology to build platforms and resources to help make a lasting positive impact. Learn about our values Contact us Get in touch. We’re here to help. Get the support you need Featured programs and projects Sustainability By the Numbers Microsoft will be carbon negative by 2030. Get an interactive look at other ways our company is improving our environmental impact. Explore By the Numbers Corporate Social Responsibility We believe technology is a powerful force for good and are working to foster a sustainable future where everyone has access to the benefits and opportunities created by technology. Learn about our approach Stories At Microsoft, we're inspired by people around the world who use technology to do imaginative, innovative, and life-changing things. We share their stories. View their stories Microsoft AI When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you and your organization achieve more. Explore Microsoft AI Follow Microsoft",1516,success
MSFT,Microsoft,Technology,2022,https://www.microsoft.com/en-us/about,,,20220701,missing,No closest snapshot found from Wayback Availability API,,,0,missing_snapshot
MSFT,Microsoft,Technology,2023,https://www.microsoft.com/en-us/about,20230701210705.0,http://web.archive.org/web/20230701210705/https://www.microsoft.com/en-us/about,20230701,found,,200.0,"About Microsoft | Mission and Vision | Microsoft Empowering others Our mission is to empower every person and every organization on the planet to achieve more. Our company Stay informed about Microsoft – from company facts and news to our worldwide locations and more. Explore the world of Microsoft Who we are Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision. Meet the people of Microsoft What we value See how we utilize technology to build platforms and resources to help make a lasting positive impact. Learn about our values Contact us Get in touch. We’re here to help. Get the support you need Featured programs and projects Sustainability By the Numbers Microsoft will be carbon negative by 2030. Get an interactive look at other ways our company is improving our environmental impact. Explore By the Numbers Corporate Social Responsibility We believe technology is a powerful force for good and are working to foster a sustainable future where everyone has access to the benefits and opportunities created by technology. Learn about our approach Stories At Microsoft, we're inspired by people around the world who use technology to do imaginative, innovative, and life-changing things. We share their stories. View their stories Microsoft AI When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you and your organization achieve more. Explore Microsoft AI Follow Microsoft",1516,success
MSFT,Microsoft,Technology,2024,https://www.microsoft.com/en-us/about,20240701230101.0,http://web.archive.org/web/20240701230101/https://www.microsoft.com/en-us/about,20240701,found,,200.0,"About Microsoft | Mission and Vision | Microsoft Empowering others Our mission is to empower every person and every organization on the planet to achieve more. Our company Stay informed about Microsoft – from company facts and news to our worldwide locations and more. Explore the world of Microsoft Who we are Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision. Meet the people of Microsoft What we value See how we utilize technology to build platforms and resources to help make a lasting positive impact. Learn about our values Contact us Get in touch. We’re here to help. Get the support you need Featured programs and projects Sustainability By the Numbers Microsoft will be carbon negative by 2030. Get an interactive look at other ways our company is improving our environmental impact. Explore By the Numbers Corporate Social Responsibility We believe technology is a powerful force for good and are working to foster a sustainable future where everyone has access to the benefits and opportunities created by technology. Learn about our approach Stories At Microsoft, we're inspired by people around the world who use technology to do imaginative, innovative, and life-changing things. We share their stories. View their stories Microsoft AI When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you and your organization achieve more. Explore Microsoft AI Follow Microsoft",1516,success
AAPL,Apple,Technology,2016,https://investor.apple.com/our_values/default.aspx,20240721115837.0,http://web.archive.org/web/20240721115837/https://investor.apple.com/our_values/default.aspx,20160701,found,,200.0,Our Values - Apple,18,failed_or_too_short
AAPL,Apple,Technology,2017,https://investor.apple.com/our_values/default.aspx,,,20170701,missing,No closest snapshot found from Wayback Availability API,,,0,missing_snapshot
AAPL,Apple,Technology,2018,https://investor.apple.com/our_values/default.aspx,20240721115837.0,http://web.archive.org/web/20240721115837/https://investor.apple.com/our_values/default.aspx,20180701,found,,200.0,Our Values - Apple,18,failed_or_too_short
AAPL,Apple,Technology,2019,https://investor.apple.com/our_values/default.aspx,,,20190701,missing,No closest snapshot found from Wayback Availability API,,,0,missing_snapshot
